comment_id,operation,scope,remove_code,add_code,labeler_id,label_time,problem,message
0007e329_30f8bc66,delete,2,characters,NULL,7,7/12/2019 9:49,NULL,line over 80 characters
000fe65d_14a8d2df,replace,1,GPIOs or the highest GPIO,highest gpio number,7,7/18/2019 19:20,NULL,"??  24 is the number of GPEs associated with the GPIOs, but isn't the number of GPIOs or the highest GPIO.  From the code in acpigen.c, I think this should be the highest gpio number."
0039dcbd_535d2260,not_enough,0,NULL,NULL,7,7/24/2019 20:19,NULL,not needed
00884957_1d34cb27,insert,3,NULL,tab,11,7/15/2019 3:06,NULL,one tab here? for indentation?
00f68d14_50caf651,insert,3,NULL,2017-2018,11,7/23/2019 10:01,NULL,2017-2018
01465bbf_2fac3a52,delete,2,assignment,NULL,11,7/17/2019 8:52,NULL,do not use assignment in if condition
01630436_189303fc,replace,1,relative #include,chip.h ,7,7/18/2019 8:01,NULL,Why is this chip.h a relative #include? And what does it change/fix? It seems this is just papering over an issue.
019ba75e_b2127c29,replace,1,GPIO configuration,baseboard/gpio.h,11,7/19/2019 12:27,NULL,Same comment as for GPIO configuration. Can be moved to baseboard/gpio.h
01a3cd36_5e7e8c0d,delete,2,separate callback,NULL,10,7/18/2019 6:13,NULL,I think it would be good to handle this within fill_vr_domain_config itself i.e. no need to add a separate callback here.
025269f2_8367c664,insert,3,NULL,tabs,10,7/18/2019 9:15,NULL,code indent should use tabs where possible
02935ec8_db9f7eab,delete,2,spaces,NULL,11,7/18/2019 3:51,NULL,"please, no spaces at the start of a line"
02a2b096_9da65a55,replace,1,Debug Probe Type,lowercase,9,7/21/2019 19:24,NULL,lowercase or *Debug Probe Type* as in the commit message?
02caee3d_19e9380f,insert,3,NULL,Documentation,10,7/16/2019 6:13,NULL,Documentation?
03478488_fc462218,insert,3,NULL,no_touchscreen_sku,9,7/18/2019 18:35,NULL,"we should really create a phaser level function that e.g. is_touchscreen_sku() that encodes this, so we don't have to keep two places in sync"
03cd9d44_53c5264a,delete,2,tabs,NULL,11,7/18/2019 3:35,NULL,no tabs between type and variable name
04177578_c1197f4a,insert,3,NULL,PchSerialIoDisabled,10,7/16/2019 6:44,NULL,PchSerialIoDisabled
0458f01e_2fd5f236,insert,3,NULL,argument names,10,7/18/2019 9:05,NULL,Keep argument names here synchronized with header file.
04832663_876ffbe7,replace,1,bridge a dev,reword,9,7/16/2019 16:12,NULL,"Why not reword instead, eg bridge a dev may be connected to"" might do it."
04955f70_2942f077,insert,3,NULL,<variant/gpio.h>,10,7/18/2019 9:14,NULL,you might just include the <variant/gpio.h>
04c8030f_c6e34763,replace,1,dead_code,TPM 1.2 or 2.0,10,7/15/2019 6:45,NULL,"nit: should be impossible so could be a dead_code(must have either TPM 1.2 or 2.0"");"""
04e9e748_79c2ed56,replace,1,version of schematics,NC,7,7/18/2019 18:27,NULL,I see these as NC in my version of schematics.
060db649_e6ed7b6d,delete,2,else,NULL,10,7/18/2019 5:57,NULL,else on same line as }
06d2d22b_ca7f5aa0,insert,3,NULL,||,10,7/19/2019 9:11,NULL,I guess you want ||
06f2e9eb_ff591d7a,replace,1,mV ,separate const,11,7/24/2019 14:36,NULL,Can we move this to a separate const?  How many mV does this correspond to?
071bcdf1_99ff8296,not_enough,0,NULL,NULL,7,7/12/2019 11:38,NULL,...and this...
0734e042_792ba82e,replace,1,all,lockdown.c,7,7/15/2019 18:29,NULL,Why isn't all this moved into lockdown.c?
074aa06e_2524571b,replace,1,uin32_t,uint32_t,11,7/14/2019 14:22,NULL,Shouldn't this be uint32_t?
075f36db_a1f69748,delete,2,cc,NULL,11,7/14/2019 14:17,NULL,"is cc needed here? We set and clear the interrupt flag, so that's the same.  hlt doesn't affect flags."
076696b0_436cfda6,not_enough,0,NULL,NULL,10,7/18/2019 9:09,NULL,What is this for if there's no base address to program?
07b556f9_e5e6e7ee,delete,2,characters,NULL,10,7/12/2019 12:57,NULL,Let's remove this.
089bdb5c_442aaf13,replace,1,NULL,gpios and irqs should be the same,9,7/18/2019 19:15,NULL,These gpios and irqs should be the same as elan above. Why are they different?
089d81ff_e5724a8d,delete,2,space,NULL,10,7/18/2019 9:06,NULL,space prohibited before that close parenthesis ')'
0922e303_6a32097b,delete,2,space,NULL,7,7/16/2019 19:04,NULL,space not required
093195e0_1ed713fe,delete,2,cast,NULL,10,7/19/2019 7:14,NULL,cast not needed
09445cdf_50889431,delete,2,space,NULL,10,7/19/2019 6:44,NULL,space prohibited between function name and open parenthesis '('
0997589e_cf66d1e1,delete,2,#warning,NULL,11,7/23/2019 9:54,NULL,"You can't use #warning here, because warnings are treated as errors in coreboot's build system. I think the FIXME comment above is enough."
0a7357c8_5dc69572,replace,1,brace { ,open brace,10,7/12/2019 17:24,NULL,that open brace { should be on the previous line
0a957b04_dc6aba39,not_enough,0,NULL,NULL,7,7/18/2019 20:19,NULL,I guess there is no better way to write this?
0ab24138_7506b45a,replace,1,10ms,100ms,11,7/23/2019 10:07,NULL,"As per datasheet, this should be at least 100ms."
0b9f1635_98b420a1,delete,2,extra line,NULL,11,7/15/2019 13:13,NULL,nit: extra line
0ba1cc39_114b9594,replace,1,shuts the system down,"poweroff() (from <halt.h>), and call halt()",11,7/17/2019 9:55,NULL,"This shuts the system down, right? If so, please call it poweroff() (from <halt.h>), and call halt() at the end to make sure execution cannot continue."
0bfdfdda_77276a03,replace,1,pull-up rail,TP I2C,11,7/24/2019 15:06,NULL,"nit: TP I2C pull-up rail"""""
0c32d1c1_4ecc8470,insert,3,NULL,space,10,7/15/2019 6:02,NULL,"space required after that ',' (ctx:VxV)"
0c788522_4fa6046e,replace,1,symbol,global,10,7/19/2019 6:46,NULL,Why is this symbol global to begin with?
0cc0dbec_8a151278,replace,1,UNDEFINED_STRAPPING,UNDEFINED_STRAPPING_ID,7,7/15/2019 20:04,NULL,UNDEFINED_STRAPPING_ID
0cdb06ef_9973d9e0,replace,1,left side of the test,constant,7,7/15/2019 19:39,NULL,Comparisons should place the constant on the right side of the test
0d12c279_6bca2369,replace,1,#define,#define MAX_FIELD_SIZE = 18,10,7/16/2019 6:01,NULL,"Use a #define please.

 #define MAX_FIELD_SIZE = 18

 for (i = 0; i <= MAX_FIELD_SIZE; i++) {"
0f0a716f_f5dfae12,replace,1,Shouldn't this be continue,allow other groups,1,7/4/2019 4:54,NULL,Shouldn't this be continue to allow other groups to be checked?
0f6007c2_9a253b7f,delete,2,tab,NULL,7,7/16/2019 16:38,NULL,another tab
0f6da52e_9aae3c4d,delete,2,Unnecessary space,NULL,8,7/16/2019 15:22,NULL,Unnecessary space before function pointer name
0fb26a28_9473d7f5,delete,2,indentation,NULL,7,7/15/2019 19:45,NULL,"this indentation looks useless, i'd remove it from here and every line below"
0fc81995_9d8991df,replace,1,spd_ddr2.h file,include/spd_ddr3.h,10,7/12/2019 14:25,NULL,Adding a include/spd_ddr3.h file similar to the spd_ddr2.h file for these fields would be nice.
0fcfa729_77fd3a7c,delete,2,initialize,NULL,9,7/18/2019 11:40,NULL,Why do you need to initialize this?
1012409e_03aeae2a,replace,1,single-line inside a function body,multi-line comments style,10,7/12/2019 12:53,NULL,"Please use the elaborate multi-line comments style, as it’s not inside a function body."
1012409e_04e7c2e8,replace,1,if IS_ENABLED(CONFIG_SOC_INTEL_SMALL_CORE),endif,9,7/15/2019 19:48,NULL,This seems so very wrong. This split of small vs big like they'll continue to be like that seems only to be backwards looking. By making this distinction you leave not much room for maneuvering when a part doesn't act like one or the other.
1012409e_0c989bda,delete,2,extra line,NULL,10,7/15/2019 5:59,NULL,remove extra line?
1012409e_11d38713,replace,1,NULLS3 resume will not be possible,"""error"" or ""warning""",7,7/18/2019 17:45,NULL,"Recommend Error: ..."" as searching logs for ""error"" or ""warning"" is probably a typical first step.  Text could possibly contain ""S3 resume will not be possible"
1012409e_14940b4b,replace,1,functions are not indented,indent,7,7/18/2019 8:18,NULL,The content of these functions are not indented.
1012409e_1e9eea3d,delete,2,characters,NULL,10,7/19/2019 9:00,NULL,This doesn't look right.
1012409e_23900adb,not_enough,0,NULL,NULL,9,7/18/2019 11:16,NULL,Above tabulators are used for alignment.
1012409e_327a0eea,replace,1,access this MMIO,read8() keyword volatile,11,7/19/2019 12:08,NULL,Use read8() where you want to access this MMIO. This one is also missing keyword volatile.
